Column,uv_clf_alpha_01,uv_clf_alpha_005,uv_clf_alpha_001,Randomized Lasso,Linear SVC,Logistic Regregssion,Votes,Good Feature
weatherVar233,False,False,False,False,False,False,0,False
weatherVar234,False,False,False,False,False,False,0,False
weatherVar235,True,True,True,False,False,True,4,True
weatherVar236,False,False,False,False,True,True,2,False
var40_0,False,False,False,False,True,False,1,False
var40_1,False,False,False,False,False,False,0,False
var40_2,False,False,False,False,True,True,2,False
var40_3,True,True,True,True,False,False,4,True
var40_4,False,False,False,False,False,True,1,False
var40_5,False,False,False,False,False,False,0,False
var40_6,True,True,True,False,False,False,3,False
var40_7,True,True,True,True,False,False,4,True
var40_8,True,True,True,True,True,True,6,True
var40_9,True,True,True,True,True,True,6,True
var40_10,True,False,False,False,False,False,1,False
var40_11,True,True,True,False,True,True,5,True
var40_12,True,True,True,True,True,True,6,True
var40_13,False,False,False,False,False,False,0,False
var40_14,True,False,False,False,False,False,1,False
var40_15,False,False,False,False,True,True,2,False
var40_16,False,False,False,False,False,False,0,False
var40_17,True,True,False,False,True,True,4,True
var40_18,True,True,False,False,True,True,4,True
var8_0,True,True,True,True,True,True,6,True
var8_1,False,False,False,False,True,True,2,False
var8_2,True,True,True,False,False,False,3,False
var8_3,False,False,False,False,False,False,0,False
var8_4,False,False,False,False,False,False,0,False
var8_5,True,True,False,False,False,False,2,False
var41_0,False,False,False,False,False,False,0,False
var41_1,False,False,False,False,True,False,1,False
var41_2,True,True,True,False,False,False,3,False
var41_3,True,False,False,False,True,True,3,False
var41_4,False,False,False,False,True,True,2,False
var41_5,False,False,False,False,False,False,0,False
var41_6,False,False,False,False,True,False,1,False
var41_7,False,False,False,False,False,False,0,False
var41_8,True,True,False,False,True,True,4,True
var7_0,False,False,False,False,False,False,0,False
var7_1,False,False,False,False,True,True,2,False
var7_2,False,False,False,False,True,True,2,False
var7_3,True,False,False,True,False,False,2,False
var7_4,True,True,False,False,True,True,4,True
var7_5,False,False,False,False,False,False,0,False
var7_6,False,False,False,False,True,True,2,False
var7_7,False,False,False,False,False,False,0,False
var9_0,True,False,False,False,True,True,3,False
var9_1,True,False,False,False,True,False,2,False
